Customer_Id,First_Name,Last_Name,Company,City,Country,Phone_1,Phone_2,Email,Subscription_Date,Website
CUST-0001,AHMET,  Kaya  ,  Nova Tech  ,Ankara,  Turkey  ,+90 537 338 74 87,+90 535 833 93 99,ahmet.kaya1@example.com,2023-10-09,www.novatech.com
CUST-0002,Ece,Celik,NOVA TECH,  Adana  ,  Netherlands  ,+90 554 718 43 15,,ece.celik2@example.com,2023-06-13,www.novatech.com
CUST-0003,Murat,Kaya,Pixel House,Bursa,Turkey,+90 547 181 39 22,+90 568 750 56 30,murat.kaya3@example.com,2023-10-28,www.pixelhouse.com
CUST-0004,CAN,Kaya,PIXEL HOUSE,Konya,United Kingdom,+90 538 801 51 17,+90 514 924 50 61,can.kaya4@example.com,2024-10-12,www.pixelhouse.com
CUST-0005,Ece,Arslan,Blue Market,Izmir,Germany,+90 578 369 84 64,,ece.arslan5@example.com,2024-11-02,www.bluemarket.com
CUST-0006,Mehmet,Ozturk,ARTEMIS LTD,Izmir,Netherlands,+90 559 490 86 69,+90 580 981 11 97,,2023-04-04,www.artemisltd.com
CUST-0007,  Deniz  ,Celik,Sun Trade,Antalya,BRITISH INDIAN OCEAN TERRITORY (CHAGOS ARCHIPELAGO),+90 523 991 90 48,,deniz.celik7@example.com,2023-12-15,www.suntrade.com
CUST-0008,Elif,Demir,Pixel House,Ankara,British Indian Ocean Territory (Chagos Archipelago),+90 540 159 40 82,,ELIF.DEMIR8@EXAMPLE.COM,2024-06-27,www.pixelhouse.com
CUST-0009,  Zeynep  ,Kaya,Pixel House,Antalya,Azerbaijan,+90 537 652 98 35,,zeynep.kaya9@example.com,2023-05-09,www.pixelhouse.com
CUST-0010,  Elif  ,AYDIN,Pixel House,Bursa,  Turkey  ,+90 590 160 39 18,,  elif.aydin10@example.com  ,2024-04-07,www.pixelhouse.com
CUST-0011,FATMA,  Celik  ,Sun Trade,SAMSUN,Netherlands,+90 534 196 22 94,+90 564 520 69 16,fatma.celik11@example.com,2024-05-12,www.suntrade.com
CUST-0012,Ayşe,  Yilmaz  ,ARTEMIS LTD,  Samsun  ,Germany,+90 541 995 19 66,,  ayşe.yilmaz12@example.com  ,2023-12-14,www.artemisltd.com
CUST-0013,Ahmet,Ozturk,NOVA TECH,Samsun,British Indian Ocean Territory (Chagos Archipelago),+90 517 268 58 10,,ahmet.ozturk13@example.com,31/31/2024,www.novatech.com
CUST-0014,Zeynep,Celik,ARTEMIS LTD,Bursa,Azerbaijan,+90 517 865 50 17,+90 571 614 77 30,ZEYNEP.CELIK14@EXAMPLE.COM,2024-07-23,www.artemisltd.com
CUST-0015,Deniz,Kaya,BLUE MARKET,Ankara,AZERBAIJAN,+90 586 140 89 20,+90 584 678 76 50,deniz.kaya15@example.com,2023-03-12,www.bluemarket.com
CUST-0016,Selin,Arslan,Blue Market,Adana,  Turkey  ,+90 589 676 22 19,+90 574 371 26 54,selin.arslan16@example.com,2023-09-29,www.bluemarket.com
CUST-0017,Elif,Celik,Blue Market,Istanbul,Azerbaijan,+90 594 206 27 43,+90 523 860 80 29,elif.celik17@example.com,2024-03-24,www.bluemarket.com
CUST-0018,Selin,Arslan,Blue Market,  Istanbul  ,Netherlands,+90 515 103 52 26,+90 543 265 66 80,selin.arslan18@example.com,2024-10-11,www.bluemarket.com
CUST-0019,Ayşe,Kaya,Sun Trade,Izmir,Turkey,+90 515 466 36 97,+90 523 462 81 62,ayşe.kaya19@example.com,2023-06-02,www.suntrade.com
CUST-0020,  Fatma  ,Demir,Blue Market,Konya,British Indian Ocean Territory (Chagos Archipelago),+90 541 373 30 99,+90 514 979 70 38,FATMA.DEMIR20@EXAMPLE.COM,2024-02-27,www.bluemarket.com
CUST-0021,   ,Arslan,Delta Soft,Antalya,British Indian Ocean Territory (Chagos Archipelago),+90 592 621 61 96,,zeynep.arslan21@example.com,2023-08-22,www.deltasoft.com
CUST-0022,Ayşe,Celik,  Blue Market  ,Konya,British Indian Ocean Territory (Chagos Archipelago),+90 587 623 24 59,,AYŞE.CELIK22@EXAMPLE.COM,2024-08-17,www.bluemarket.com
CUST-0023,Ali,Koc,Nova Tech,Bursa,Turkey,+90 552 738 50 94,,ali.koc23@example.com,2024-06-16,www.novatech.com
CUST-0024,Can,Koc,DELTA SOFT,Konya,Germany,+90 548 515 80 10,+90 536 540 84 87,can.koc24@example.com,2024-02-17,www.deltasoft.com
CUST-0025,Zeynep,Sahin,Pixel House,Ankara,United Kingdom,+90 552 195 40 96,+90 535 250 13 15,ZEYNEP.SAHIN25@EXAMPLE.COM,2024-04-29,www.pixelhouse.com
CUST-0026,Zeynep,Polat,NOVA TECH,Konya,  Germany  ,+90 598 105 23 64,+90 599 630 69 16,zeynep.polat26@example.com,2024-04-11,www.novatech.com
CUST-0027,Ayşe,Aydin,Blue Market,Samsun,United Kingdom,+90 564 950 80 67,,ayşe.aydin27@example.com,2024-04-20,www.bluemarket.com
